接口标识,接口名称,接口地址,接口请求方式,接口参数
queryUpdateOrderUsingPOST,修改订单,https://service.bccastle.com/om/order/queryUpdateOrder,post,"['companyId', 'cosumeCompany', 'createTime', 'gtTime', 'id', 'lsTime', 'name', 'orderNum', 'payTime', 'payments', 'priceRatio', 'serviceCompanyName', 'settlement', 'status', 'type']"
findAppPriceByFidUsingPOST,按规格查询价格,https://service.bccastle.com/om/price/findAppPriceByFid,post,['fid']
queryAppByCompanyIdUsingPOST,查询企业下所有应用,https://service.bccastle.com/om/queryAppByCompanyId,post,['companyId']
queryPowerUsingGET,查找用户已有的菜单权限,https://service.bccastle.com/om/queryPowerList,get,['name']
refuseAppsUsingPOST,应用审批拒绝,https://service.bccastle.com/om/refuseApps,post,['entityId']
scanAppUsingPOST,信息回显,https://service.bccastle.com/om/scan,post,['entityId']
findListBySysLoginLogUsingGET,获取登录日志分页信息,https://service.bccastle.com/om/sysloginlog/loginlog/getSysLoginLogList,get,"['ip', 'loginname', 'logintime', 'username', 'page']"
findListBySysOperatorLogUsingGET,获取操作日志分页信息,https://service.bccastle.com/om/sysoperatorlog/operatorlog/getSysOperatorLogList,get,"['desciption', 'failReason', 'id', 'operator', 'operatorIp', 'operatorTime', 'result', 'sysCode', 'sysType', 'userId', 'page']"
findFirstPowerListUsingPOST,查询所有的一级菜单,https://service.bccastle.com/om/syspower/findFirstPowerList,post,[]
addPowerUsingPOST,新增菜单权限,https://service.bccastle.com/om/syspower/power/addPower,post,"['list', 'powerDesc', 'powerId', 'powerLevel', 'powerLogo', 'powerName', 'powerShoworder', 'powerUrl']"
deleteSysPowerUsingPOST,删除菜单权限,https://service.bccastle.com/om/syspower/power/deletePower,post,['powerid']
findListByPowerUsingGET,获取菜单资源分页信息,https://service.bccastle.com/om/syspower/power/getPowerList,get,"['list', 'powerDesc', 'powerId', 'powerLevel', 'powerLogo', 'powerName', 'powerShoworder', 'powerUrl', 'page']"
alreadyrolepowerListUsingGET,获取已授权的资源菜单分页信息,https://service.bccastle.com/om/syspower/power/getalreadyrolepowerList,get,['roleid']
rolepowerListUsingGET,获取未授权的资源菜单分页信息,https://service.bccastle.com/om/syspower/power/getrolepowerList,get,['roleid']
getSysPowerUsingPOST,查看资源权限信息,https://service.bccastle.com/om/syspower/power/queryPower,post,['powerid']
updatePowerUsingPOST,更新菜单权限,https://service.bccastle.com/om/syspower/power/updatePower,post,"['list', 'powerDesc', 'powerId', 'powerLevel', 'powerLogo', 'powerName', 'powerShoworder', 'powerUrl']"
addRoleUsingPOST,新增角色,https://service.bccastle.com/om/sysrole/role/addRole,post,"['companyId', 'roleCreatetime', 'roleDesc', 'roleId', 'roleName', 'roleType']"
authorizationPowerUsingPOST,角色授权,https://service.bccastle.com/om/sysrole/role/authorizationPower,post,"['powerid', 'roleid']"
cancelauthorizationPowerUsingPOST,收回授权给角色的菜单权限,https://service.bccastle.com/om/sysrole/role/cancelauthorizationPower,post,"['powerid', 'roleid']"
deleteSysRoleUsingPOST,删除角色,https://service.bccastle.com/om/sysrole/role/deleteRole,post,['roleid']
findListByRoleUsingGET,获取角色分页信息,https://service.bccastle.com/om/sysrole/role/getRoleList,get,"['companyId', 'roleCreatetime', 'roleDesc', 'roleId', 'roleName', 'roleType', 'page']"
alreadyuserroleListUsingGET,获取已授权的角色分页信息,https://service.bccastle.com/om/sysrole/role/getalreadyrolepowerList,get,['userid']
userroleListUsingGET,获取未授权的角色分页信息,https://service.bccastle.com/om/sysrole/role/getuserroleList,get,['userid']
getSysRoleUsingPOST,查看角色信息,https://service.bccastle.com/om/sysrole/role/queryRole,post,['roleid']
queryRoleUsingPOST,查找角色名是否存在,https://service.bccastle.com/om/sysrole/role/queryRoleName,post,['roleName']
updateRoleUsingPOST,更新角色,https://service.bccastle.com/om/sysrole/role/updateRole,post,"['companyId', 'roleCreatetime', 'roleDesc', 'roleId', 'roleName', 'roleType']"
addSysUserUsingPOST,添加运营平台用户,https://service.bccastle.com/om/sysuser/idssysuser/addSysUser,post,"['createtime', 'creator', 'loginname', 'password', 'status', 'userid', 'userlevel', 'username']"
